"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 15:03:13 CEST 2022","Fri Aug 19 15:03:21 CEST 2022","8028","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Campaign Highlights are displayed correctly","Verify if Campaign Highlights are displayed correctly",""
"passed","Fri Aug 19 15:50:08 CEST 2022","Fri Aug 19 15:50:09 CEST 2022","796","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if footer section is displayed correctly","Verify if footer section is displayed correctly",""
"passed","Fri Aug 19 15:49:42 CEST 2022","Fri Aug 19 15:49:46 CEST 2022","4338","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Video of heroes are populated correctly","Verify if Video of heroes are populated correctly",""
"passed","Fri Aug 19 15:03:52 CEST 2022","Fri Aug 19 15:04:02 CEST 2022","10040","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Feedback Popup and Survey is populated correctly","Verify if Feedback Popup and Survey is populated correctly",""
"passed","Fri Aug 19 15:49:36 CEST 2022","Fri Aug 19 15:49:42 CEST 2022","5985","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Campaign Highlights are displayed correctly","Verify if Campaign Highlights are displayed correctly",""
"passed","Fri Aug 19 15:49:09 CEST 2022","Fri Aug 19 15:49:16 CEST 2022","6851","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Cookies popup is displayed only for the first loading","Verify if Cookies popup is displayed only for the first loading",""
"passed","Fri Aug 19 15:02:31 CEST 2022","Fri Aug 19 15:02:43 CEST 2022","12026","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Cookies popup is displayed only for the first loading","Verify if Cookies popup is displayed only for the first loading",""
"passed","Fri Aug 19 15:49:47 CEST 2022","Fri Aug 19 15:50:07 CEST 2022","20498","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Volvo models are displayed correctly","Verify if Volvo models are displayed correctly",""
"passed","Fri Aug 19 15:03:51 CEST 2022","Fri Aug 19 15:03:52 CEST 2022","1004","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if footer section is displayed correctly","Verify if footer section is displayed correctly",""
"passed","Fri Aug 19 15:03:27 CEST 2022","Fri Aug 19 15:03:49 CEST 2022","22679","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Volvo models are displayed correctly","Verify if Volvo models are displayed correctly",""
"passed","Fri Aug 19 15:03:49 CEST 2022","Fri Aug 19 15:03:51 CEST 2022","1207","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if declaration section is displayed correctly","Verify if declaration section is displayed correctly",""
"passed","Fri Aug 19 15:03:27 CEST 2022","Fri Aug 19 15:03:27 CEST 2022","95","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if innovation section is populated correctly","Verify if innovation section is populated correctly",""
"passed","Fri Aug 19 15:03:21 CEST 2022","Fri Aug 19 15:03:27 CEST 2022","5815","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Video of heroes are populated correctly","Verify if Video of heroes are populated correctly",""
"passed","Fri Aug 19 15:50:07 CEST 2022","Fri Aug 19 15:50:08 CEST 2022","835","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if declaration section is displayed correctly","Verify if declaration section is displayed correctly",""
"passed","Fri Aug 19 15:03:02 CEST 2022","Fri Aug 19 15:03:13 CEST 2022","10367","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify the story video is populated correctly","Verify the story video is populated correctly",""
"passed","Fri Aug 19 15:50:09 CEST 2022","Fri Aug 19 15:50:19 CEST 2022","10023","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Feedback Popup and Survey is populated correctly","Verify if Feedback Popup and Survey is populated correctly",""
"passed","Fri Aug 19 15:49:46 CEST 2022","Fri Aug 19 15:49:47 CEST 2022","68","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if innovation section is populated correctly","Verify if innovation section is populated correctly",""
"passed","Fri Aug 19 15:49:16 CEST 2022","Fri Aug 19 15:49:27 CEST 2022","11880","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Navbar is populated correctly","Verify if Navbar is populated correctly",""
"passed","Fri Aug 19 15:49:27 CEST 2022","Fri Aug 19 15:49:36 CEST 2022","8680","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify the story video is populated correctly","Verify the story video is populated correctly",""
"passed","Fri Aug 19 15:02:43 CEST 2022","Fri Aug 19 15:03:02 CEST 2022","19247","","Verify the UI of Volvo Campaign page","","Verify the UI of Volvo Campaign page","Verify if Navbar is populated correctly","Verify if Navbar is populated correctly",""
